Union_name,thana_name
Perikhali,Rampal
Arpara,Shalikha
Helatola,Kalaroa
Shyamnagar,Shyamnagar
Tala,Tala
Baradal,Assasuni
Santospur,Chitalmari
Teligati,Morrelganj
Khontakata,Sarankhola
Bemarta,Bagerhat Sadar
Paurashava,Abhaynagar
Labutala,Jessore Sadar
Jiban Nagar,Jiban Nagar
Baluhar,Kotchandpur
Kancherkol,Shailkupa
Daulatpur,Daulatpur (Ku)
"Paurashova, W04",Jiban Nagar
Dhopakhali,Jiban Nagar
Buridanga,Dacope
Bahirchar,Bheramara
Chanchari,Kalia
Nizampur,Sharsha
Keshabpur,Keshabpur
Damurhuda,Damurhuda
Mominpur,Chuadanga Sadar
Dhankhola,Gangni
Kola,Kaliganj (J)
Auria,Narail Sadar
Chaugachha,Chaugachha
Shyamkur,Chaugachha
Dohakula,Bagher Para
Paurashava W01,Moheshpur
Pourasava w02,Moheshpur
Paurashava W07,Jessore Sadar
Barakhada,Kushtia Sadar
Baharampur,Dashmina
Bakal,Agailjhara
Daspara,Bauphal
Patharghata,Patharghata
Kawkhali,Kawkhali
Deuli SubidkhaIi,Mirzaganj
Nilganj,Kalapara
Barabagi,Amtali
Betagi,Betagi
Idilpur,Gosairhat
Chiknikandi,Galachipa
Badarkhali,Barguna Sadar
Bamna,Bamna
Bhandaria,Bhandaria
Parerhat,Indurkani
Rajapur,Rajapur
Nathullabad,Nalchity
Gabkhan Dhansiri,Jhalakati Sadar
Kathalia,Kathalia
Damudya,Damudya
Sakhipura,Bhedarganj
Rambhadrapur,Bhedarganj
Naria,Naria
Patgati,Tungipara
Fukura,Palong
Paurashava W03,Kotalipara
Ghagor,Kotalipara
Tengrakhola,Kotalipara
Buraich,Muksudpur
Shekhar,Alfadanga
Bhanga,Bhanga
Kharkharapur,Boalmari
Zanjira,Zanjira
Sadarpur,Sadarpur
Pangsha,Pangsha
Kamarkhali,Madhukhali
Nagarkanda,Nagarkanda
Gazirtek,Char Bhadrasan
Rahmatpur,Babuganj
Jambaria,Bholahat
Shahbazpur,Shibganj (N)
Gomastapur,Gomastapur
Saranjai,Tanore
Belpukuna,Puthia
Maugachhi,Mohanpur
Harian,Paba
Bagatipara,Bagatipara
Gopalpur,Baraigram
Baraigram,Baraigram
Lakshmipur khol.,Gurudaspur
