year,indicator_name,indicator_code,indicator's_value,Country
1989,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.394468621,Bangladesh
1988,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.431601239,Bangladesh
1987,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.43011869,Bangladesh
1986,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.524204677,Bangladesh
1985,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.291143763,Bangladesh
1984,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.491557214,Bangladesh
1983,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.601347675,Bangladesh
1982,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.866880713,Bangladesh
1981,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.528625535,Bangladesh
1980,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.663665644,Bangladesh
1979,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.628411967,Bangladesh
1978,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,1.746744636,Bangladesh
1977,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,2.420676261,Bangladesh
1976,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.662682918,Bangladesh
1975,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.551952442,Bangladesh
1974,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.371571877,Bangladesh
1973,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.491545045,Bangladesh
1972,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.330446493,Bangladesh
1971,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.259880381,Bangladesh
1970,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.292927786,Bangladesh
2021,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
2020,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
2019,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
2018,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
2017,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
2016,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
