year,indicator_name,indicator_code,indicator's_value,Country
2015,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
2014,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
2013,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
2012,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
2011,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
2010,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
2009,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
2008,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
2007,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
2006,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
2005,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
2004,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
2003,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
2002,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
2001,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
2000,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
1999,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
1998,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
1997,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
1996,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
1995,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
1994,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
1993,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
1992,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
1991,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
1990,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
1989,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
1988,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0,Bangladesh
