date,district_id,10_day_rainfall_mm,long_term_avg_mm,1 month_aggregation_mm,1 month_aggregation_long_term_avg_mm,3 month_aggregation_mm,3 month_aggregation_mm,anomaly,1 month_anomaly,3 month_anomaly
2026-04-11,BD2075,1,28.740393,37.75294,94.73961,82.988235,82.988235,17.782839,42.86456,62.954014
2026-04-11,BD2051,0.25,29.798485,33.159092,99.28485,83.43182,83.43182,15.0868635,36.591213,60.772823
2026-04-11,BD1009,0.45762712,28.78531,35.559322,88.90226,74.52542,74.52542,16.153849,43.193127,60.121727
2026-04-11,BD1006,0,27.860834,30.7375,91.82667,85.225,85.225,15.215683,36.908737,65.342155
2026-04-11,BD1078,0.6966292,30.182772,41.78652,90.68165,79.95506,79.95506,16.19153,48.89811,62.956924
2026-04-11,BD2013,1.3653846,40.557693,49.615383,126.73205,114.269226,114.269226,13.972139,41.459446,69.972626
2026-04-11,BD3086,0.9285714,34.884922,47.380947,115.3873,120.45238,120.45238,14.864191,43.51036,76.3542
2026-04-11,BD1004,0.078431375,25.491503,38.215683,78.104576,77.960785,77.960785,16.655235,52.001564,68.19647
2026-04-11,BD1079,0.23809524,23.920635,33.761906,77.830154,79.809525,79.809525,18.111965,46.796852,68.44866
2026-04-11,BD4087,0.025,19.500278,56.758335,60.587776,101.63333,101.63333,20.509972,94.16135,100.34268
2026-04-11,BD4047,0.072,20.840534,51.152,67.91493,94.864,94.864,19.628078,77.01029,89.60355
2026-04-01,BD4001,20.782946,26.263308,64.65891,58.197674,85.18604,85.18604,82.47031,110.223854,93.8579
2026-04-01,BD2003,26.835443,30.06519,43.012657,49.815823,58.37342,58.37342,90.789314,87.58905,87.86623
2026-04-01,BD5010,11.428572,21.780272,62.52041,40.713943,75.21429,75.21429,61.3458,147.702,117.54532
2026-04-01,BD2012,26.164179,59.83632,164.68657,123.79502,195.07463,195.07463,48.06593,131.74933,119.24282
2026-04-01,BD4018,14.738095,20.77381,96.90477,50.338097,117.5,117.5,76.581985,184.1494,140.15637
2026-04-01,BD2019,13.858491,51.54654,104.5566,104.507545,128.0566,128.0566,33.350388,100.0448,95.64
2026-04-01,BD3026,18.61111,48.003704,139.24074,100.05247,161.01852,161.01852,44.54615,137.30351,119.67375
2026-04-01,BD5527,11.190083,18.580166,70.14876,36.534435,80.38017,80.38017,68.659744,180.93121,139.6811
2026-04-01,BD3029,11.7260275,37.10959,104.45206,81.50137,125.753426,125.753426,39.720238,126.53216,109.49365
2026-04-01,BD5532,11.95,27.339582,88.6625,51.964584,102.49999,102.49999,52.41255,164.42233,135.17831
2026-04-01,BD3033,31.453125,56.052605,151.71875,105.567184,174.5,174.5,59.70773,141.74074,125.04808
2026-04-01,BD3035,11.3,30.383333,84,72.60133,105.08,105.08,46.066887,114.68875,99.64997
2026-04-01,BD6036,38.539326,86.20225,238.61797,159.26591,269.38202,269.38202,47.73931,148.30707,132.53514
2026-04-01,BD4041,15.4725275,23.086447,106.83517,60.16044,130.02197,130.02197,72.89112,171.63046,134.43842
2026-04-01,BD1042,8.833333,30.686111,59.041668,70.47083,81.875,81.875,38.763912,84.856186,81.15683
2026-04-01,BD4044,13.343284,22.251741,103.47761,53.251743,125.16418,125.16418,67.31051,186.22208,140.48306
